PQA Version:,3.0,
#85.0<85.0 85.0>,0.000000,32.000000,3.101505,2.660605,4.529303,--,--,35.194515,
#86.0<86.0 86.0>,0.000000,37.000000,3.208273,2.717054,4.651386,--,--,34.951408,
#87.0<87.0 87.0>,0.000000,32.000000,3.077255,2.619253,4.473149,--,--,35.292870,
#88.0<88.0 88.0>,0.000000,35.000000,3.369591,2.799763,4.823996,--,--,34.592548,
#89.0<89.0 89.0>,0.000000,31.000000,3.105768,2.663163,4.533566,--,--,35.186668,
#90.0<90.0 90.0>,0.000000,33.000000,3.106850,2.660461,4.531418,--,--,35.188515,
#91.0<91.0 91.0>,0.000000,28.000000,3.086765,2.536176,4.400737,--,--,35.389301,
#92.0<92.0 92.0>,0.000000,33.000000,3.196441,2.698844,4.625844,--,--,34.990444,
#93.0<93.0 93.0>,0.000000,33.000000,3.119662,2.660234,4.545158,--,--,35.164345,

***Summary,Min,Max,Mean Abs,StdDev,Minkowski,DMOS,PQR,PSNR
,0.000000,41.000000,3.016380,2.591461,4.415429,--,--,35.425682,
